playername,TRB,AST,STL,BLK,PTS,fame,now,WS,MP
Shaun Livingston,2005.0,2594.0,592.0,307.0,5317.0,0,1,1.68333333333,17574.0
Jameer Nelson,2637.0,4582.0,791.0,70.0,10216.0,0,1,3.06875,24933.0
J.R. Smith,3033.0,2107.0,976.0,212.0,12242.0,0,1,3.26,25810.0
Josh Smith,7371.0,3156.0,1204.0,1876.0,14353.0,0,1,3.3375,32168.0
Damien Wilkins,1346.0,787.0,429.0,129.0,3571.0,0,1,1.35555555556,10839.0
Andrew Bogut,6197.0,1569.0,448.0,1095.0,6812.0,0,1,3.60714285714,20095.0
Jose Calderon,2254.0,5522.0,742.0,75.0,8520.0,0,1,3.975,24796.0
Raymond Felton,2945.0,5466.0,1211.0,196.0,11310.0,0,1,3.05714285714,29822.0
Channing Frye,4049.0,877.0,462.0,550.0,7818.0,0,1,3.1,19936.0
Gerald Green,1389.0,560.0,286.0,161.0,5393.0,0,1,1.18333333333,10986.0
Jarrett Jack,2469.0,3846.0,702.0,109.0,9618.0,0,1,2.72142857143,24314.0
Amir Johnson,4214.0,895.0,464.0,782.0,5559.0,0,1,4.175,16623.0
C.J. Miles,1752.0,811.0,528.0,214.0,7006.0,0,1,2.19166666667,14928.0
Chris Paul,3684.0,8251.0,1911.0,90.0,15610.0,0,1,12.8916666667,29646.0
Lou Williams,1840.0,2514.0,772.0,159.0,11446.0,0,1,3.83571428571,20430.0
Marvin Williams,4584.0,1125.0,661.0,448.0,9122.0,0,1,4.48333333333,24891.0
LaMarcus Aldridge,6590.0,1510.0,611.0,828.0,15136.0,0,1,7.88181818182,27568.0
J.J. Barea,1399.0,2513.0,269.0,18.0,5977.0,0,1,1.70909090909,13482.0
Rudy Gay,5350.0,2120.0,1215.0,725.0,16683.0,0,1,3.73333333333,32033.0
Ersan Ilyasova,4507.0,921.0,543.0,283.0,8520.0,0,1,3.3,18886.0
Kyle Lowry,3099.0,4398.0,1049.0,208.0,10746.0,0,1,5.64615384615,23737.0
Paul Millsap,6254.0,1922.0,1100.0,868.0,11890.0,0,1,7.21818181818,24683.0
J.J. Redick,1495.0,1572.0,361.0,61.0,9314.0,0,1,3.91538461538,19544.0
Rajon Rondo,3856.0,6613.0,1375.0,103.0,8214.0,0,1,4.22307692308,25063.0
Thabo Sefolosha,3117.0,1222.0,891.0,382.0,4789.0,0,1,2.82307692308,18664.0
P.J. Tucker,2860.0,750.0,619.0,123.0,3741.0,0,1,3.1,13878.0
Arron Afflalo,2357.0,1485.0,378.0,140.0,9054.0,0,1,3.00833333333,22649.0
Marco Belinelli,1321.0,1080.0,375.0,44.0,6209.0,0,1,2.35,14903.0
Corey Brewer,2687.0,1503.0,1183.0,254.0,8401.0,0,1,1.53125,21916.0
Aaron Brooks,1360.0,2485.0,469.0,113.0,7839.0,0,1,1.54666666667,17088.0
Wilson Chandler,3223.0,1045.0,435.0,436.0,8315.0,0,1,2.49090909091,18431.0
Mike Conley,2062.0,4011.0,1055.0,137.0,10050.0,0,1,6.28,22985.0
